Track URI,Track Name,Artist Name(s),Album Name,Album Release Date,Album Image URL,Track Duration (ms),Popularity,Artist Genres,Danceability,Label
5SxkdsY1ufZzoq9iXceLw9,no tears left to cry,Ariana Grande,no tears left to cry,2018,https://i.scdn.co/image/ab67616d0000b27365d28ba9f50b2eba46ffc55c,205946,0,pop,0.703,Universal Records
6P6JXuYde2BYahsfvjWVXU,Welcome Home,Peters & Lee,Peters & Lee,1989,https://i.scdn.co/image/ab67616d0000b273246bd4ebcc5c67f4f79ab71f,238866,21,classic uk pop,0.699,President
7cJyozunnamcpi7JoEQ1ap,"Taller, Stronger, Better - Radio Mix",Guy Sebastian,Twenty Ten,2010,https://i.scdn.co/image/ab67616d0000b2739b9984688fe057a6af29d60e,204933,21,australian pop,0.334,Sony Music Entertainment
3ayl4rTNR1rSqdi97VT2rZ,Sweet December,Short Stack,This Is Bat Country,2010,https://i.scdn.co/image/ab67616d0000b27356797e7da4f49ac9080a9f6b,234614,0,australian pop,0.58,Universal Music Australia Pty. Ltd.
6bvc6DHQMDLRH1EDNR1Uhg,She's My Baby,Johnny O'Keefe,The Very Best Of (Standard),2008,https://i.scdn.co/image/ab67616d0000b27330ad726114f1781c8d4d81bf,125226,12,australian rock,0.582,WM Australia
5GHbWzjRy1XfnTf5rkA8bf,Ringo,Lorne Greene,Welcome to the Ponderosa,1964,https://i.scdn.co/image/ab67616d0000b273fa53ae13a36f6708af04053c,214213,40,cowboy western,0.563,Legacy Recordings
0rWhxNRrN3yj2juc5yRFDF,Mashed Potato,Billy Thorpe & The Aztecs,Extended Play,2014,https://i.scdn.co/image/ab67616d0000b273ac4610f43e278cad4e5937b1,150240,0,australian rock,0.282,Albert Productions
7HWH4kGaHR3ZwKNFPT4dSW,Puppy Love,Donny Osmond,Portrait Of Donny,1972,https://i.scdn.co/image/ab67616d0000b27385618248da0fd1e0485870d2,184973,42,bubblegum pop,0.414,Universal Records
1IpYDWB31L1CxDQZztadSi,Lonely,Akon,Trouble,2004,https://i.scdn.co/image/ab67616d0000b273c45a75cba7099003063c8e64,235800,0,dance pop,0.629,SRC Records
4jobL8u8bt6AObVdhethdy,Tik Tok (Parody),The Midnight Beast,Tik Tok (Parody),2011,https://i.scdn.co/image/ab67616d0000b2739b252f119e35a5110a112ad7,212000,24,comic,0.832,The Midnight Beast
4viUsO0ZnlZrVCM945K6on,Whip It! (feat. Chloe Angelides),"LunchMoney Lewis, Chloe Angelides",Whip It! (feat. Chloe Angelides),2015,https://i.scdn.co/image/ab67616d0000b2733b9730f2ee876fa56f9bbf67,242973,48,miami hip hop,0.739,Kemosabe Records/RCA Records
0oRfRA3MUFHgIMGSzh3cfY,Horses,"Teddy Cream, Szabo",Horses,2017,https://i.scdn.co/image/ab67616d0000b273c26d4a461c958e4956d531a6,208087,22,melbourne bounce,0.676,Hussle Recordings [Domestic]
3Xl4KM5C1yivck4CBsy05L,Tip Of My Tongue,Diesel,Hepfidelity,1992,https://i.scdn.co/image/ab67616d0000b273146ea15f6427ce29bd4fac1b,254640,51,australian rock,0.658,EMI Recorded Music Australia Pty Ltd
